Produktbereichsbezeichnung,Produktbezeichnung,Ansatz
Allgemeine Finanzwirtschaft,Sonstige allgemeine Finanzwirtschaft,46.13
Allgemeine Finanzwirtschaft,"Steuern, allgemeine Zuweisungen, allgemeine Umlagen",46.39
Bauund Grundstücksordnung,Bauund Grundstücksordnung,8.61
Bauund Grundstücksordnung,Denkmalschutz und -pflege,-1.75
Bauund Grundstücksordnung,Wohnungsbauförderung,-0.71
Gesundheitsdienste,Gesundheitspflege,-13.13
Gesundheitsdienste,Krankenhäuser,-0.22
Innere Verwaltung,Verwaltungssteuerung und -service,-137.39
"Kinder-, Jugendund Familienhilfe (SGB VIII)",Einrichtungen der Jugendarbeit,-7.26
"Kinder-, Jugendund Familienhilfe (SGB VIII)",Jugendarbeit,-0.35
"Kinder-, Jugendund Familienhilfe (SGB VIII)","Sonstige Einrichtungen der Kinder-, Jugendund Familienhilfe",-8.98
"Kinder-, Jugendund Familienhilfe (SGB VIII)","Sonstige Leistungen der Kinder-, Jugendund Familienhilfe",-70.52
"Kinder-, Jugendund Familienhilfe (SGB VIII)",Tageseinrichtungen für Kinder,-158.86
Kultur und Wissenschaft,Bibliotheken,5.64
Kultur und Wissenschaft,Heimatund sonstige Kulturpflege,3.41
Kultur und Wissenschaft,Musikpflege,-18.98
Kultur und Wissenschaft,Nichtwissenschaftliche Museen und Sammlungen,3.66
Kultur und Wissenschaft,Sonstige Spartenund regionsübergreifende Förderung,-16.12
Kultur und Wissenschaft,Sonstige Volksbildung,-0.81
Kultur und Wissenschaft,Theater,20.42
Kultur und Wissenschaft,Zoologische und Botanische Gärten,-2.30
Naturund Landschaftspflege,Friedhofsund Bestattungswesen,-0.34
Naturund Landschaftspflege,Landund Forstwirtschaft,-0.48
Naturund Landschaftspflege,Naturschutz und Landschaftspflege,-1.78
Naturund Landschaftspflege,Öffentliche Gewässer und wasserbauliche Anlagen,-5.85
Naturund Landschaftspflege,"Öffentliches Grün, Landschaftsbau",-1.77
Räumliche Planung und Entwicklung,Flächen und grundstücksbezogene Daten und Grundlagen,-7.32
Räumliche Planung und Entwicklung,Räumliche Planungsund Entwicklungsmaßnahmen,-20.01
Schulträgeraufgaben,Berufliche Schulen,-10.10
Schulträgeraufgaben,Förderschulen,-0.37
Schulträgeraufgaben,Grundschulen,-19.03
Schulträgeraufgaben,"Gymnasien, Kollegs",4.48
Schulträgeraufgaben,Mittelschulen,-15.54
Schulträgeraufgaben,Schülerbeförderung,-5.91
Schulträgeraufgaben,Sonstige schulische Aufgaben,-2.69
Sicherheit und Ordnung,Brandschutz,-33.44
Sicherheit und Ordnung,Katastrophenschutz,-1.13
Sicherheit und Ordnung,Ordnungsangelegenheiten,-19.96
Sicherheit und Ordnung,Rettungsdienst,-2.37
Sicherheit und Ordnung,Statistik und Wahlen,-0.29
Soziale Hilfen,Betreuungsleistungen,0.91
Soziale Hilfen,Bildung und Teilhabe nach § 6b BKGG,-1.71
Soziale Hilfen,Förderung von Trägern der Wohlfahrtspflege,-3.34
Soziale Hilfen,Grundsicherung für Arbeitssuchende nach SGB II,-38.92
Soziale Hilfen,Grundversorgung und Hilfen nach SGB XII sowie Feststellung der Schwerbehinderteneigenschaft nach SGB IX,-24.60
Soziale Hilfen,Hilfen für Asylbewerber,0.72
Soziale Hilfen,Hilfen für Heimkehrer und politische Häftlinge,0.00
Soziale Hilfen,Soziale Einrichtungen ohne Jugendhilfe,-5.74
Soziale Hilfen,Unterhaltsvorschussleistungen,-0.93
Soziale Hilfen,sonstige soziale Hilfen und Leistungen,-60.55
Sportförderung,Sportstätten und Bäder,-20.70
Umweltschutz,Umweltschutzmaßnahmen,3.10
"Verkehrsflächen und -anlagen, Öffentlicher Personennahverkehr",Bundesstraßen,-6.99
"Verkehrsflächen und -anlagen, Öffentlicher Personennahverkehr",Gemeindestraßen,-63.52
"Verkehrsflächen und -anlagen, Öffentlicher Personennahverkehr",Kreisstraßen,-2.31
"Verkehrsflächen und -anlagen, Öffentlicher Personennahverkehr",Parkeinrichtungen,6.42
"Verkehrsflächen und -anlagen, Öffentlicher Personennahverkehr",Sonstige Leistungen der Straßenbaulastträger,1.96
"Verkehrsflächen und -anlagen, Öffentlicher Personennahverkehr",Staatsstraßen,-3.52
"Verkehrsflächen und -anlagen, Öffentlicher Personennahverkehr",Straßenreinigung und Winterdienst,-6.82
Verund Entsorgung,Abfallwirtschaft,0.21
Verund Entsorgung,Abwasserbeseitigung,-0.43
Verund Entsorgung,Elektrizitätsversorgung,0.18
Verund Entsorgung,Kombinierte Versorgung,-0.70
Verund Entsorgung,Wasserversorgung,-0.21
Wirtschaft und Tourismus,Allgemeine Einrichtungen und Unternehmen,-1.12
Wirtschaft und Tourismus,Tourismus,-2.35
Wirtschaft und Tourismus,Wirtschaftsförderung,0.54
